Country,Connection,Patient Organization,Hospital/Dr,P - Tranexamic Acid,P - Danazol,P - Cinryze,P - Takhzyro,P - Orladeyo,P- Haegarda,A - Firazyr,A - Generic Icatibant,A - Berinert,A - Kalbitor,A - Ruconest,A - FFP,Source,Region
Saudi Arabia,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,https://haei.org/about-haei/globally/,Asia
Singapore,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,https://haei.org/hae-member-countries/singapore/,Asia
South Korea,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,https://haei.org/hae-member-countries/south-korea/,Asia
Sri Lanka,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/about-haei/globally/,Asia
Syria,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/about-haei/globally/,Asia
Taiwan,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,https://haei.org/hae-member-countries/taiwan/,Asia
Tajikistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Asia
Thailand,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/hae-member-countries/thailand/,Asia
Timor Leste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Asia
Turkey,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,https://haei.org/10-year-achievements-turkey/,Asia
