Country,Connection,Patient Organization,Hospital/Dr,P - Tranexamic Acid,P - Danazol,P - Cinryze,P - Takhzyro,P - Orladeyo,P- Haegarda,A - Firazyr,A - Generic Icatibant,A - Berinert,A - Kalbitor,A - Ruconest,A - FFP,Source,Region
Sweden,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,https://haei.org/hae-member-countries/sweden/,Europe
Switzerland,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,https://haei.org/hae-member-countries/switzerland/,Europe
Ukraine,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,https://haei.org/hae-member-countries/ukraine/,Europe
United Kingdom,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,https://haei.org/hae-member-countries/united-kingdom/,Europe
Vatican City,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/about-haei/globally/,Europe
Argentina,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,https://haei.org/hae-member-countries/argentina/,South America
Bolivia,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/hae-member-countries/bolivia/,South America
Brazil,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,https://haei.org/hae-member-countries/brazil/,South America
Chile,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,https://haei.org/hae-member-countries/chile/,South America
Colombia,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,https://haei.org/hae-member-countries/colombia/,South America
Ecuador,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/hae-member-countries/ecuador/,South America
Paraguay,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,https://haei.org/hae-member-countries/paraguay/,South America
Peru,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,https://haei.org/hae-member-countries/peru/,South America
Uruguay,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/hae-member-countries/uruguay/,South America
Venezuela,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,https://haei.org/hae-member-countries/venezuela/,South America
Guyana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,South America
Suriname,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,South America
Canada,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,https://haei.org/hae-member-countries/canada/,North America
Costa Rica,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,https://haei.org/hae-member-countries/costa-rica/,North America
Cuba,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,https://haei.org/hae-member-countries/cuba/,North America
Dominican Republic,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,https://haei.org/hae-member-countries/dominican-republic/,North America
El Salvador,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/hae-member-countries/el-salvador/,North America
Guatemala,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/hae-member-countries/guatemala/,North America
Mexico,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,https://haei.org/hae-member-countries/mexico/,North America
Panama,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,https://haei.org/hae-member-countries/panama/,North America
Puerto Rico,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,https://haei.org/hae-member-countries/puerto-rico/,North America
